"Rk","","Overall","Home","Road"
"1","Washington Capitals","55-19-8","32-7-2","23-12-6"
"2","Pittsburgh Penguins","50-21-11","31-6-4","19-15-7"
"3","Chicago Blackhawks","50-23-9","26-10-5","24-13-4"
"4","Columbus Blue Jackets","50-24-8","28-12-1","22-12-7"
"5","Minnesota Wild","49-25-8","27-12-2","22-13-6"
"6","Anaheim Ducks","46-23-13","29-8-4","17-15-9"
"7","Edmonton Oilers","47-26-9","25-12-4","22-14-5"
"8","Montreal Canadiens","47-26-9","24-12-5","23-14-4"
"9","New York Rangers","48-28-6","21-16-4","27-12-2"
"10","San Jose Sharks","46-29-7","26-11-4","20-18-3"
"11","St. Louis Blues","46-29-7","24-12-5","22-17-2"
"12","Ottawa Senators","44-28-10","22-11-8","22-17-2"
"13","Boston Bruins","44-31-7","23-17-1","21-14-6"
"14","Toronto Maple Leafs","40-27-15","21-13-7","19-14-8"
"15","Calgary Flames","45-33-4","24-17-0","21-16-4"
"16","Tampa Bay Lightning","42-30-10","23-14-4","19-16-6"
"17","Nashville Predators","41-29-12","24-9-8","17-20-4"
"18","New York Islanders","41-29-12","22-12-7","19-17-5"
"19","Philadelphia Flyers","39-33-10","25-11-5","14-22-5"
"20","Winnipeg Jets","40-35-7","22-18-1","18-17-6"
"21","Carolina Hurricanes","36-31-15","23-12-6","13-19-9"
"22","Los Angeles Kings","39-35-8","23-16-2","16-19-6"
"23","Florida Panthers","35-36-11","19-19-3","16-17-8"
"24","Dallas Stars","34-37-11","22-13-6","12-24-5"
"25","Detroit Red Wings","33-36-13","17-17-7","16-19-6"
"26","Buffalo Sabres","33-37-12","20-15-6","13-22-6"
"27","Arizona Coyotes","30-42-10","18-18-5","12-24-5"
"28","New Jersey Devils","28-40-14","16-17-8","12-23-6"
"29","Vancouver Canucks","30-43-9","18-17-6","12-26-3"
"30","Colorado Avalanche","22-56-4","13-26-2","9-30-2"
